binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/logs/firmware/squashfs-root/bin/busybox;NA;1.13.4;NA;gplv2;static;
/logs/firmware/squashfs-root/bin/busybox;NA;sed:4.0;NA;gplv3;static;
/logs/firmware/squashfs-root/bin/l2tpd;NA;l2tpd:0.69;NA;gplv2;static;
/logs/firmware/squashfs-root/bin/pppoe-discovery;NA;3.3;NA;unknown;static;
/logs/firmware/squashfs-root/bin/pptp;NA;1.7.2;NA;unknown;static;
/logs/firmware/squashfs-root/bin/wscd;NA;openssl:0.9.8b;NA;bsd;static;
/logs/firmware/squashfs-root/lib/libcrypto.so.0.9.8;NA;openssl:0.9.8i;NA;bsd;static;
/logs/firmware/squashfs-root/lib/libssl.so.0.9.8;NA;openssl:0.9.8i;NA;bsd;static;
/logs/firmware/squashfs-root/sbin/dnsmasq;NA;2.41;NA;gplv3;static;
/logs/firmware/squashfs-root/sbin/mailsend;NA;1.15b5;NA;unknown;static;
/logs/firmware/squashfs-root/sbin/miniupnpd;NA;1.7;NA;unknown;static;
/logs/firmware/squashfs-root/sbin/proxy;NA;mini_httpd:1.19;NA;unknown;static;
/bin/busybox;NA;1.13.4;NA;gplv2;emulation;
/bin/ip6tables;NA;1.4.4;NA;unknown;emulation;
/bin/iptables;NA;1.4.4;NA;gpl;emulation;
/bin/iwpriv;NA;25;NA;unknown;emulation;
/bin/ntfs-3g;NA;2012.1.15;NA;gplv2;emulation;
/bin/pppoe-discovery;NA;3.3;NA;unknown;emulation;
/bin/pppoe-relay;NA;pppoe:3.10;NA;gplv2;emulation;
/bin/pppoe-relay;NA;pppoe:3.10;NA;unknown;emulation;
/bin/pppoe-server;NA;pppoe:3.10;NA;gplv2;emulation;
/bin/pppoe;NA;pppoe:3.10;NA;gplv2;emulation;
/bin/pppoe;NA;pppoe:3.10;NA;unknown;emulation;
/bin/pptp;NA;1.7.2;NA;unknown;emulation;
/bin/tc;NA;110107;NA;gplv2;emulation;
/bin/ult;NA;15.0;NA;unknown;emulation;
/sbin/bulkListen;NA;1.4.4;NA;gpl;emulation;
/sbin/dnsmasq;NA;2.41;NA;gplv3;emulation;
/sbin/mailsend;NA;1.15b5;NA;unknown;emulation;
/sbin/mailsend;NA;openssl:0.9.8i;NA;bsd;emulation;
/sbin/radvd;NA;1.8.3;NA;radvd-lic;emulation;
/sbin/rdnssd;NA;1.0.1;NA;unknown;emulation;
/sbin/udhcpc;NA;0.9.9;NA;unknown;emulation;
