binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/logs/firmware/squashfs-root/bin/busybox;NA;1.22.1;NA;gplv2;static;
/logs/firmware/squashfs-root/bin/busybox;NA;sed:4.0;NA;gplv3;static;
/logs/firmware/squashfs-root/bin/busybox;NA;1.22.1;NA;unknown;static;
/logs/firmware/squashfs-root/bin/curl;NA;7.37.0;NA;mit-style;static;
/logs/firmware/squashfs-root/bin/stunnel;NA;4.21;NA;gplv2;static;
/logs/firmware/squashfs-root/bin/wscd;NA;openssl:0.9.8b;NA;bsd;static;
/logs/firmware/squashfs-root/lib/libcurl.so.4.3.0;NA;7.37.0;NA;mit-style;static;
/logs/firmware/squashfs-root/usr/bin/flash_eraseall;NA;1.1;NA;unknown;static;
/logs/firmware/squashfs-root/usr/lib/libcrypto.so.0.9.8;NA;openssl:0.9.8zc;NA;bsd;static;
/logs/firmware/squashfs-root/usr/lib/libssl.so.0.9.8;NA;openssl:0.9.8zc;NA;bsd;static;
/logs/firmware/squashfs-root/usr/sbin/elog;NA;1.0.1;NA;unknown;static;
/logs/firmware/squashfs-root/usr/sbin/iperf;NA;2.0.5;NA;unknown;static;
/logs/firmware/squashfs-root/usr/sbin/rscam_uvc;NA;1.11.1;NA;unknown;static;
/logs/firmware/squashfs-root/usr/sbin/upnp_igd;NA;1.0;NA;unknown;static;
/bin/busybox;NA;1.22.1;NA;gplv2;emulation;
/bin/curl;NA;7.37.0;NA;mit-style;emulation;
/sbin/ip6tables;NA;1.4.4;NA;unknown;emulation;
/sbin/iptables;NA;1.4.4;NA;gpl;emulation;
/sbin/pppoe-relay;NA;pppoe:3.10;NA;gplv2;emulation;
/sbin/pppoe-relay;NA;pppoe:3.10;NA;unknown;emulation;
/sbin/pppoe-server;NA;pppoe:3.10;NA;gplv2;emulation;
/sbin/pppoe-sniff;NA;pppoe:3.10;NA;gplv2;emulation;
/sbin/pppoe;NA;pppoe:3.10;NA;gplv2;emulation;
/sbin/pppoe;NA;pppoe:3.10;NA;unknown;emulation;
/usr/bin/flash_eraseall;NA;1.1;NA;unknown;emulation;
/usr/bin/iwpriv;NA;25;NA;unknown;emulation;
/usr/sbin/elog;NA;1.0.1;NA;unknown;emulation;
/usr/sbin/iperf;NA;2.0.5;NA;unknown;emulation;
/usr/sbin/mkdosfs;NA;3.0.16;NA;gplv3;emulation;
/usr/sbin/rscam_uvc;NA;1.11.1;NA;unknown;emulation;
/usr/sbin/upnp_igd;NA;1.0;NA;unknown;emulation;
